alpha,threshold,mean,var,count
0.000000,0.500000,0.910321,42.766625,9679
0.000000,0.500000,0.882635,41.828002,9594
0.100000,0.500000,0.794756,40.135700,9993
0.100000,0.500000,0.786784,40.046573,10018
0.200000,0.500000,0.772426,39.486436,10111
0.200000,0.500000,0.938859,42.999920,9568
0.300000,0.500000,0.913039,41.808404,9395
0.300000,0.500000,0.926255,42.125676,9343
0.400000,0.500000,0.866853,41.033275,9666
0.400000,0.500000,0.878829,41.116074,9598
0.500000,0.500000,1.097969,44.731143,8370
0.500000,0.500000,1.033796,43.447237,8640
0.600000,0.500000,0.947166,41.647056,8839
0.600000,0.500000,1.019447,43.380834,8793
0.700000,0.500000,0.966743,41.993160,8720
0.700000,0.500000,0.904028,40.782081,8888
0.800000,0.500000,0.846077,39.189278,8959
0.800000,0.500000,0.991779,42.829346,8758
0.900000,0.500000,0.911882,41.028702,9022
0.900000,0.500000,0.937020,41.681134,8987
0.400000,0.700000,0.949264,41.502143,8692
0.400000,0.700000,1.028477,42.991154,8463
0.500000,0.700000,0.928158,40.808698,8644
0.500000,0.700000,0.990031,42.426468,8627
0.600000,0.700000,1.014959,42.920426,8557
0.600000,0.700000,0.981148,41.780413,8434
0.400000,0.300000,0.841082,40.448380,9615
0.400000,0.300000,0.784647,38.966503,9705
0.500000,0.300000,0.894620,41.565145,9423
0.500000,0.300000,0.875262,40.995150,9524
0.600000,0.300000,0.859818,40.680422,9559
0.600000,0.300000,0.871015,40.998408,9505


0.800000,0.500000,0.919647,41.719121,9172
0.800000,0.500000,0.883267,40.899547,9329
0.900000,0.500000,0.842906,40.176023,9402
0.900000,0.500000,0.850656,40.124673,9294
0.600000,0.500000,0.857658,40.558865,9428
0.600000,0.500000,0.820894,39.673276,9486
0.700000,0.500000,0.863974,40.524200,9285
0.700000,0.500000,0.833474,40.108709,9506
